,Compound,Negative,Neutral,Positive,Source,Tweet Date,Tweet Text,Tweets Ago
67,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:14:48,"#MondayMotivaton
 पूर्ण परमात्मा की खोज करने के लिए किसी तत्वदर्शी संत की खोज करके सत भक्ति करनी होती है (आज वो तत्… https://t.co/4QK2lzGb2D",68
68,0.4404,0.0,0.0,0.127,@BBC,2018-07-02 01:14:43,"RT @anofiscal: @sundayschild22 @MalcolmNance @CNN @MSNBC @nbc @FBI @CBSNews @ABC @BBC @NPR You, sir, are CORRECT.  And good for you.  Takes…",69
69,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:14:28,RT @BBC: 🌳 How trees secretly talk to each other.  https://t.co/IuLAvWPwKj,70
70,-0.5267,0.145,0.145,0.0,@BBC,2018-07-02 01:14:19,"RT @sundayschild22: @MalcolmNance @CNN @MSNBC @NBC @FBI @CBSNews @ABC @BBC @NPR — This is a direct threat from trump, he is inciting violen…",71
71,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:13:41,"RT @sandya_mehra: #सफलहुआ_कबीरभंडारा
मीडिया वालो ने 28जून कबीर प्रकटदिवस पर #संतरामपालजीमहाराज द्वारा हरियाणा रोहतक मे किये विशालभंडारे की…",72
72,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:11:32,"RT @yashwantdas01: #सफलहुआ_कबीरभंडारा
मीडिया वालो ने #28जून_कबिरप्रकटदिवस पर #संतरामपालजीमहाराज द्वारा हरियाणा रोहतक मे किये विशालभंडारे की…",73
73,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:11:11,"RT @be_praised: @LuvverDuck @DVATW @BBC Whoever it is, they should be sacked for going outside the parameters of the make up of the populat…",74
74,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:11:06,"RT @LuvverDuck: @DVATW Why does @BBC even have a ""Head of Diversity""",75
75,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:10:18,RT @70Formula: @WSJ @RosenforNevada @USSenate @USCongress @DNC @BBC @CBSNews @SenBobCorker @NBCNews @tedlieu @nytimes @TGowdySC @TheLeadCNN…,76
76,0.0,0.0,0.0,0.0,@BBC,2018-07-02 01:10:14,RT @BBC: 🌳 How trees secretly talk to each other.  https://t.co/IuLAvWPwKj,77
